""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"	"42"	"43"	"44"	"45"	"46"	"47"	"48"	"49"	"50"	"51"	"52"	"53"	"54"	"55"	"56"	"57"	"58"	"59"	"60"	"61"
"44"	8	4	4	4	3	4	4	8	4	5	4	4	4	4	4	3	5	4	5	4	4	1	4	4	4	4	3	5	8	1	4	4	4	8	4	4	4	3	3	4	8	8	4	2	5	4	8	3	4	4	4	4	8	5	8	4	8	1	8	4	5
"45"	4	3	4	3	5	5	3	4	5	3	3	5	3	3	5	5	3	3	3	4	5	5	3	5	3	3	5	5	3	5	5	4	5	3	5	5	4	3	5	5	4	2	3	5	2	5	5	5	4	3	5	5	4	5	3	3	3	5	4	3	5
"46"	8	4	4	5	2	4	4	8	4	5	3	2	5	4	4	4	5	5	4	4	5	4	4	4	4	3	2	1	5	4	2	4	1	4	1	4	4	4	3	4	8	4	5	4	5	2	4	4	4	4	4	1	8	4	8	4	4	1	8	5	5
"47"	8	5	5	5	4	3	4	8	5	5	3	4	5	8	5	4	5	4	4	4	5	1	5	4	4	4	4	4	8	5	8	4	2	4	5	1	3	4	3	8	8	8	5	8	5	4	2	8	3	3	4	8	8	5	8	4	8	1	8	5	5
"48"	8	4	4	4	4	4	4	4	1	5	4	4	4	5	4	4	5	4	4	4	5	1	3	4	4	3	3	1	5	1	4	3	5	4	4	4	4	4	3	3	8	4	5	1	5	4	8	2	4	5	4	4	8	5	8	5	8	1	8	4	4
"49"	8	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	5	1	4	4	4	4	4	5	3	4	4	3	1	3	4	4	4	4	4	4	5	4	4	4	4	4	1	4	2	4	4	2	8	5	3	4	4	1	8	4	5
"50"	4	4	5	4	4	4	4	5	5	4	3	4	4	4	5	4	1	4	4	4	5	4	4	4	4	4	4	5	1	5	5	4	1	3	5	1	3	4	4	4	4	4	4	4	1	4	1	5	4	2	4	1	8	5	4	1	4	1	8	4	5
"51"	4	4	4	4	4	4	5	5	4	4	4	4	5	5	5	4	5	5	4	4	1	5	4	4	4	5	4	1	4	5	4	4	4	4	4	5	4	4	4	4	5	5	4	4	5	4	4	4	4	4	2	4	8	5	8	5	4	5	1	4	1
"52"	8	5	5	5	2	3	3	8	5	5	3	3	5	3	5	3	5	4	5	4	5	1	5	3	4	3	3	5	4	4	3	3	2	4	5	4	3	3	3	3	8	4	5	4	5	3	8	4	2	3	4	2	8	5	8	4	8	1	8	5	5
"53"	8	4	8	8	8	4	8	8	8	8	8	8	4	8	4	8	8	8	8	4	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	4	8	8	8	8	8	8	8	2	4	8	8	8	8	8	8	8
"54"	4	3	3	5	3	5	5	3	5	4	4	5	4	5	3	5	5	5	5	5	5	5	3	4	3	4	3	3	5	4	3	4	5	4	3	5	5	5	3	4	4	4	4	5	5	4	5	5	5	5	5	5	4	2	4	5	4	5	4	4	5
"55"	8	4	4	4	4	4	4	8	5	8	4	8	1	8	1	4	4	1	4	4	5	4	4	8	8	8	8	4	8	8	8	8	4	8	4	1	8	4	4	8	8	8	8	8	1	8	8	8	1	4	8	8	8	4	2	2	8	1	8	4	8
"56"	8	4	5	4	5	4	3	4	5	4	3	4	4	3	5	4	4	4	4	3	5	5	3	3	3	4	4	5	4	5	4	4	4	4	5	1	3	3	4	4	8	2	4	4	1	4	4	5	4	3	5	4	8	5	2	2	3	1	8	4	5
"57"	8	4	1	1	1	1	4	8	4	5	1	1	1	8	1	4	4	4	4	4	5	1	4	1	4	4	4	4	8	1	4	4	1	4	1	1	4	4	1	1	8	1	4	8	1	4	8	8	4	4	4	8	8	4	8	1	2	1	8	4	5
"58"	3	5	5	5	3	3	3	3	5	5	3	3	5	4	5	3	5	5	5	3	5	5	5	3	4	3	3	5	4	5	4	3	3	3	5	3	3	3	3	5	5	5	5	3	5	3	3	3	3	3	5	3	8	5	3	3	3	2	8	5	5
"59"	8	4	8	8	8	4	8	8	4	8	8	8	4	8	4	8	4	4	8	4	4	8	8	8	8	8	8	8	8	8	8	8	8	8	4	5	8	8	8	8	8	8	8	8	4	8	8	8	8	8	3	8	8	4	8	8	8	8	2	8	8
"60"	8	4	4	1	5	5	4	4	1	4	4	5	1	4	1	4	4	4	1	4	4	1	4	4	4	4	4	5	4	1	4	4	5	4	4	5	4	4	4	4	4	1	4	4	1	5	5	4	4	4	4	5	8	4	4	4	4	5	8	2	4
"61"	8	3	5	4	5	5	5	5	4	4	5	5	5	4	5	5	5	4	4	4	4	5	3	4	4	5	5	5	5	5	5	4	5	5	4	5	5	4	5	5	5	4	4	5	5	5	5	4	5	5	3	5	8	5	8	5	5	5	8	4	2
